model,0,1,2,3,4,5,6,7,8,9,10,11
cnn3d_big_kernal/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.9087605476379396,1.0023882389068604,1.093309760093689,0.9866387248039246,0.9841662645339966,1.0483421087265017,0.900246798992157,1.0773749351501465,1.0790810585021973,1.068698525428772,0.9989815354347228,1.078935980796814
cnn3d_huge_kernal/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.9401223063468932,1.0916876792907717,1.153288722038269,0.979775607585907,1.0981494188308716,1.1034976243972778,0.8814685940742493,1.0976717472076416,1.1054141521453855,1.0243890285491943,1.0382575988769531,1.0867130756378174
cnn3d_3_layer/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.9172593355178832,1.027392864227295,1.1374070644378662,0.975171446800232,1.0086010694503784,1.118504524230957,0.8773117065429688,1.096993088722229,1.0977544784545898,1.1099034547805786,1.0756856203079224,1.0933374166488647
cnn3d_3_layer_big/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,1.074452519416809,1.0593822002410889,1.2265000343322754,1.1062231063842771,1.0569002628326416,1.1983425617218018,0.9584701657295228,1.0879360437393188,1.0948058366775513,1.1540589332580566,1.0206725597381592,1.1088933944702148
cnn3d_fewer_channels/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.8838738203048706,0.9836114048957824,1.0154616832733154,0.9308147430419922,0.9986682534217834,0.9954118132591248,0.8790156245231628,1.0151652097702026,1.0124567747116089,0.9797022342681884,0.954524576663971,1.006066083908081
cnn3d_3_layer_fewer_channels/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.9834019541740416,1.0033944845199585,1.055017352104187,1.0091482400894165,1.019866704940796,1.0282371044158936,0.8824552297592163,1.0076043605804443,1.00810706615448,1.0538438558578491,0.9974901080131532,1.0394128561019895
cnn3d_gelu_2_6/level=slgt_small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.6205357909202576,0.9860810041427612,0.9637521505355836,0.6934112906455994,0.9885293841362,0.9563936591148376,0.8402248620986938,0.978821575641632,1.0004924535751345,0.8450411558151245,0.9859898686408995,0.9966174960136414
cnn3d_gelu_0_5/level=slgt_small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.5869448184967041,1.000199794769287,0.9805999994277954,0.6670679450035095,0.998543620109558,0.97479909658432,0.8235223889350891,0.9735257625579834,1.0124056339263916,0.7643670439720154,0.9858825206756592,1.0043134689331057
cnn3d_3_layer/level=slgt_small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.5551772713661194,0.9834781885147096,0.9527599811553956,0.6421673893928528,0.9898301362991332,0.9363613128662108,0.8023516535758972,0.9606715440750122,0.9986017942428588,0.7846688032150269,0.9782800078392028,0.9923078417778016
cnn3d_fewer_channels/level=slgt_small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.6265840530395508,0.9883556365966796,0.963252604007721,0.7006624937057495,0.9917468428611756,0.957877278327942,0.9188331365585328,0.9874635934829712,0.9993565678596495,0.8919517397880554,0.9900761246681212,0.998924970626831
cnn3d_3_layer_big/level=slgt_small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.5858128666877747,0.9980851411819458,0.9781988859176636,0.6694016456604004,1.0037953853607178,0.9625612497329712,0.860797643661499,0.9667227268218994,1.0085649490356443,0.8228012919425964,0.9877209663391112,0.9948421120643616
cnn3d_gelu_2_6/level=slgt_small/opt=Adam_lr=0.0001_batch=4_crit=MSELoss,0.6666340827941895,0.9882895946502686,0.961718201637268,0.7493686079978943,0.9915955066680908,0.953524887561798,0.9074069857597352,0.9816661477088928,1.0020692348480225,0.9040266275405884,0.9874666333198548,0.9953563809394836
cnn3d_gelu_2_6/level=slgt_small/opt=Adam_lr=0.0001_batch=32_crit=MSELoss,0.6756238341331482,0.9895217418670654,0.9615030884742736,0.7555493712425232,0.9952250719070436,0.952516794204712,0.9158692955970764,0.9836960434913636,1.001972794532776,0.8974093794822693,0.9868703484535216,0.995804488658905
cnn3d_gelu_2_6/level=slgt_small/opt=Adam_lr=0.005_batch=4_crit=MSELoss,0.6305227875709534,0.9943522214889526,0.973255455493927,0.7061024308204651,0.995266854763031,0.9621528387069702,0.8281075954437256,0.984255313873291,1.011435627937317,0.8099066019058228,0.982554018497467,1.009876370429993
cnn3d_gelu_2_6/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,0.6265732049942017,0.9891523122787476,0.9614219665527344,0.6872398853302002,0.992134153842926,0.9544503092765808,0.8367534279823303,0.975412368774414,0.9965299963951112,0.8100529909133911,0.9865171909332277,0.9957844018936156
