model,0,1,2,3,4,5,6,7,8,9,10,11
cnn3d_gelu_2_6/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,16.3522027718518,17.578131534965088,11.358746205037034,3.317825546044929,138659.24409618566,150668.4233071579,147233.148672805,100395.22871919394,130381.36181024383,132146.0982845642,144100.83106057908,96563.29755526816
cnn3d_3_layer_fewer_channels/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,15.746265920063973,17.588516619577288,11.378162609088411,3.2150278995832577,138783.5728276803,150791.1593224894,148594.6987163217,100814.83687385664,130576.98738939552,133964.00122318626,144096.93100490078,96572.46257534817
cnn3d_3_layer_big/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,16.249412287752406,17.63194793255224,11.45209339849755,3.3318489477925466,138936.48621480752,151724.08908552057,148936.07198171903,100357.13595244595,130952.6299167864,131346.13242736008,143802.96538909487,96227.26027718151
cnn3d_3_layer/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,15.274232512991537,17.473456877099675,11.27460799382521,3.187490161840572,138260.17077331024,149587.5429624341,142904.53988880277,99032.6806868968,130154.88485737344,128690.01999521424,143485.73780039616,96344.17340306018
cnn3d_3_layer_1_3/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,15.777172019140336,17.784338356539067,11.622584892905438,3.230405549820673,140305.18922493135,152805.4474315024,146795.31057353842,100084.439729601,131993.34024840768,130203.51409041663,144583.76345395134,97631.57321863716
cnn3d_3_layer_fewer_channels_1_3/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,15.707156775886146,17.669859074765586,11.328730184392745,3.2341302699051715,139319.65335920756,149897.71062490527,149330.0571962898,100190.97466164008,130419.75670683249,132317.08321967037,143794.57724273574,96312.96965313402
cnn3d_3_layer_fewer_channels/level=slgt_small/opt=Adam_lr=0.01_batch=64_crit=MSELoss,16.410824623283137,17.58746315187469,11.366511385690014,3.358790549023694,138706.2739446982,150402.3328760764,149959.0309380405,101034.7594370269,130605.15298871783,136897.79571034893,144340.6715134348,96575.1792049628
cnn3d_3_layer_big/level=slgt_small/opt=Adam_lr=0.01_batch=64_crit=MSELoss,15.749730850852853,17.529792115963737,11.37673606958734,3.2379041312947425,138381.19712659245,150567.33523341612,146416.339527541,100737.57284306768,130392.4863656423,133173.83693867736,143770.65805425192,96800.44605470708
cnn3d_3_layer/level=slgt_small/opt=Adam_lr=0.01_batch=64_crit=MSELoss,15.727100444680564,17.454929540614106,11.331442404702624,3.224032208812761,138398.99511972218,149649.79343396082,147273.23122635108,99489.3152289616,130606.43748951612,128622.51166327602,143575.78498393993,96167.37330204596
cnn3d_3_layer_1_3/level=slgt_small/opt=Adam_lr=0.01_batch=64_crit=MSELoss,16.11594842380874,17.79608030755221,11.549232038424854,3.220912213040688,140338.8436119403,153578.97296731194,147916.45163924008,99912.1649344769,131562.04380461125,130324.589767415,144421.30148936508,97200.0155519133
cnn3d_3_layer_big_1_3/level=slgt_small/opt=Adam_lr=0.01_batch=64_crit=MSELoss,15.388601086717026,18.0024124917828,11.76152127831091,3.16907433848953,142019.63795800295,154658.86973252404,148652.10752446429,100929.1151741006,133221.5721268715,131384.63860580552,146447.99006818343,97156.74558297686
cnn3d_3_layer_fewer_channels_1_3/level=slgt_small/opt=Adam_lr=0.01_batch=64_crit=MSELoss,15.56818276081233,17.629495459740596,11.405646625690864,3.251834021432708,138779.9385521601,150624.7045767118,147766.8759828646,99959.65516921056,130455.00652267868,132910.60345198176,144177.89823620016,96724.17855280804
cnn3d_4_layer/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,15.443936548569289,17.56165319316107,11.34625742480669,3.218303668521412,138593.76075736055,150119.01601504197,144003.3563728621,99606.05953144292,130293.29954945495,130745.8036025872,143107.63129379213,96508.28436362384
cnn3d_3_layer_big_0/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,17.112221919018896,20.8403744190329,13.34034283539668,3.603526652887492,163965.05303549647,176761.5743652472,168259.51799746236,119730.27371134864,155893.89868982532,148873.96982764296,175600.9322062698,117498.0606466799
cnn3d_3_layer_big_1_3/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,15.933714489258833,18.447015894051304,11.927422436512057,3.270763681536792,144121.52701331227,157740.39676574318,150992.84998306804,101451.4895792504,134794.96883196695,131216.1828265109,147727.8482511129,98005.2568693242
